,Store,Date,Weekly_Sales,Type,Temperature,Fuel_Price,PROMO1,PROMO2,PROMO3,PROMO4,PROMO5,CPI,IsHoliday,date,year,month,week,day
0,1,1/13/2012,1459601.17,A,48.53,3.261,5183.29,8025.87,42.24,453.08,3719.38,219.8925263,0,2012-01-13,2012,Jan,2,13
1,1,1/14/2011,1391013.96,A,35.4,2.983,4688.596799999999,9324.308400000002,42.9312,1606.1247999999998,3905.1472000000003,211.4574109,0,2011-01-14,2011,Jan,2,14
2,1,1/20/2012,1394393.84,A,54.11,3.268,4139.87,2807.19,33.88,500.62,3400.21,219.9856893,0,2012-01-20,2012,Jan,3,20
3,1,1/21/2011,1327405.42,A,44.04,3.016,3113.8204000000005,3028.7340000000004,40.4336,431.9132000000001,3859.1548,211.8272343,0,2011-01-21,2011,Jan,3,21
4,1,1/27/2012,1319325.59,A,54.26,3.29,1164.46,1082.74,44.0,11.0,1222.19,220.0788523,0,2012-01-27,2012,Jan,4,27
5,1,1/28/2011,1316899.31,A,43.83,3.01,2824.5299999999993,1566.4244000000003,251.9632,416.12559999999996,3988.2612000000004,212.1970577,0,2011-01-28,2011,Jan,4,28
6,1,1/6/2012,1550369.92,A,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483.0,219.7142581,0,2012-01-06,2012,Jan,1,6
7,1,1/7/2011,1444732.28,A,48.27,2.976,15037.192,9893.476799999999,69.804,7669.356,4351.2536,211.4047419,0,2011-01-07,2011,Jan,1,7
8,1,10/1/2010,1453329.5,A,71.89,2.603,5299.1376,2004.4404000000002,737.4315999999999,2019.0288,10113.9064,211.6719895,0,2010-10-01,2010,Oct,39,1
9,1,10/14/2011,1493525.93,A,71.74,3.274,5482.3336,2401.3484000000003,240.5412,1162.0356,4515.0832,217.3552733,0,2011-10-14,2011,Oct,41,14
10,1,10/15/2010,1459409.1,A,67.18,2.72,4278.3872,1874.1488,393.69840000000005,1072.97,4140.172799999999,211.8137436,0,2010-10-15,2010,Oct,41,15
11,1,10/21/2011,1502562.78,A,63.71,3.353,4676.5372,1885.2856,322.7788,1014.8552000000001,4090.8992000000003,217.5159762,0,2011-10-21,2011,Oct,42,21
12,1,10/22/2010,1345454.0,A,69.86,2.725,3816.5464,1414.4552,418.27759999999995,823.7184,4158.9384,211.8612937,0,2010-10-22,2010,Oct,42,22
13,1,10/28/2011,1445249.09,A,66.57,3.372,4268.908399999999,1306.0808,457.816,930.9256,4400.3528,217.6766791,0,2011-10-28,2011,Oct,43,28
14,1,10/29/2010,1384209.22,A,69.64,2.716,3093.1072000000004,213.4,428.7132,596.5219999999999,4130.022,211.9088438,0,2010-10-29,2010,Oct,43,29
15,1,10/7/2011,1630989.95,A,69.31,3.285,5551.799599999999,2067.7776,574.5112000000001,1652.0988000000004,8983.5312,217.0453684,0,2011-10-07,2011,Oct,40,7
16,1,10/8/2010,1508239.93,A,63.93,2.633,5369.7412,2002.73,661.2988,1863.0440000000003,9503.835599999999,211.7467544,0,2010-10-08,2010,Oct,40,8
17,1,11/11/2011,1594938.8900000001,A,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,0,2011-11-11,2011,Nov,45,11
18,1,11/12/2010,1494479.49,A,59.61,2.728,4569.476,1340.826,418.67040000000003,1540.6247999999998,5641.0224,212.003944,0,2010-11-12,2010,Nov,45,12
19,1,11/18/2011,1539483.7,A,62.25,3.308,6074.12,254.39,51.98,427.39,5988.57,218.2205088,0,2011-11-18,2011,Nov,46,18
20,1,11/19/2010,1483784.18,A,51.41,2.771,3524.3691999999996,105.27040000000001,438.4492000000001,970.5856000000001,4886.8904,211.8896737,0,2010-11-19,2010,Nov,46,19
21,1,11/25/2011,2033320.66,A,60.14,3.236,410.31,98.0,55805.51,8.0,554.92,218.4676211,1,2011-11-25,2011,Nov,47,25
22,1,11/26/2010,1955624.11,A,64.52,2.735,2083.574,23086.0756,28019.4656,353.9044,2282.5112,211.7484333,1,2010-11-26,2010,Nov,47,26
23,1,11/4/2011,1697229.58,A,54.98,3.332,5855.34,1999.9979999999998,845.0415999999999,2352.4064000000003,11591.196000000002,217.837382,0,2011-11-04,2011,Nov,44,4
24,1,11/5/2010,1551659.28,A,58.74,2.689,5398.956799999999,2004.4403999999997,703.6056000000001,1803.9300000000003,10076.236799999999,211.9563939,0,2010-11-05,2010,Nov,44,5
25,1,12/10/2010,1682614.26,A,46.33,2.843,4300.476,1369.6896,631.5708,1564.8072,9358.708400000001,211.4659526,0,2010-12-10,2010,Dec,49,10
26,1,12/16/2011,1881176.67,A,51.63,3.159,5011.32,67.0,347.37,225.79,4011.37,219.1794533,0,2011-12-16,2011,Dec,50,16
27,1,12/17/2010,1891034.93,A,49.84,2.869,3404.4399999999996,1150.8783999999998,446.32199999999995,1177.9272,4950.7556,211.4053124,0,2010-12-17,2010,Dec,50,17
28,1,12/2/2011,1584083.95,A,48.91,3.172,5629.51,68.0,1398.11,2084.64,20475.32,218.7147333,0,2011-12-02,2011,Dec,48,2
29,1,12/23/2011,2270188.99,A,47.96,3.112,2725.36,40.48,634.7,24.9,2739.43,219.3577216,0,2011-12-23,2011,Dec,51,23
30,1,12/24/2010,2387950.2,A,52.33,2.886,3093.1072000000004,112.34720000000002,428.7132,567.6384,4130.022,211.4051222,0,2010-12-24,2010,Dec,51,24
31,1,12/3/2010,1548033.78,A,49.27,2.708,4847.8144,1531.4259999999997,761.8191999999998,1640.7076000000002,10607.8472,211.607193,0,2010-12-03,2010,Dec,48,3
32,1,12/30/2011,1497462.72,A,44.55,3.129,5762.1,46011.38,260.36,983.65,4735.78,219.5359898,1,2011-12-30,2011,Dec,52,30
33,1,12/31/2010,1367320.01,A,48.43,2.943,2452.4244,26603.3536,24743.817600000002,387.05480000000006,2116.1184000000003,211.4049321,1,2010-12-31,2010,Dec,52,31
34,1,12/9/2011,1799682.38,A,43.93,3.158,4640.65,19.0,105.02,3639.42,14461.82,218.9618456,0,2011-12-09,2011,Dec,49,9
35,1,2/10/2012,1802477.43,A,48.02,3.409,13925.06,6927.23,101.64,8471.88,6886.04,220.2651783,1,2012-02-10,2012,Feb,6,10
36,1,2/11/2011,1649614.93,A,36.39,3.022,8095.788400000001,3998.8864000000003,15148.384399999997,7319.3048,5047.7912,212.9367046,1,2011-02-11,2011,Feb,6,11
37,1,2/12/2010,1641957.44,A,38.51,2.548,1877.3131999999998,19879.472800000003,27480.47,263.54560000000004,2262.4372,211.2421698,1,2010-02-12,2010,Feb,6,12
38,1,2/17/2012,1819870.0,A,45.32,3.51,9873.33,11062.27,9.8,8409.31,3402.66,220.4257586,0,2012-02-17,2012,Feb,7,17
39,1,2/18/2011,1686842.78,A,57.36,3.045,4713.8488,3120.3572,98.2128,919.37,3945.2376,213.2478853,0,2011-02-18,2011,Feb,7,18
40,1,2/19/2010,1611968.17,A,39.93,2.514,3321.8400000000006,1322.9108,454.07920000000007,1064.8632,5040.0728,211.2891429,0,2010-02-19,2010,Feb,7,19
41,1,2/24/2012,1539387.83,A,57.25,3.555,9349.61,7556.01,3.2,1219.92,8143.59,220.636902,0,2012-02-24,2012,Feb,8,24
42,1,2/25/2011,1456800.28,A,62.9,3.065,2993.5588000000002,928.988,271.39239999999995,394.32,4412.2372000000005,213.535609,0,2011-02-25,2011,Feb,8,25
43,1,2/26/2010,1409727.59,A,46.63,2.561,2841.0912,104.1072,422.39,717.8983999999999,4353.0828,211.3196429,0,2010-02-26,2010,Feb,8,26
44,1,2/3/2012,1636339.65,A,56.55,3.36,34577.06,3579.21,160.53,32403.87,5630.4,220.1720153,0,2012-02-03,2012,Feb,5,3
45,1,2/4/2011,1606629.58,A,42.27,2.989,15006.1828,8616.9804,277.80400000000003,6147.3276000000005,5674.756399999999,212.5668812,0,2011-02-04,2011,Feb,5,4
46,1,2/5/2010,1643690.9,A,42.31,2.572,5040.7164,1510.2839999999999,757.966,1886.6484,10257.7256,211.0963582,0,2010-02-05,2010,Feb,5,5
47,1,3/11/2011,1553191.63,A,53.56,3.459,7026.16,4366.9875999999995,151.6272,1991.7284,4532.4636,214.1110564,0,2011-03-11,2011,Mar,10,11
48,1,3/12/2010,1439541.59,A,57.79,2.667,5482.5092,2046.2772,422.02479999999997,1810.8828,7423.6323999999995,211.3806429,0,2010-03-12,2010,Mar,10,12
49,1,3/16/2012,1677472.78,A,64.74,3.734,4298.16,7.5,2.02,2724.65,2017.69,221.2118132,0,2012-03-16,2012,Mar,11,16
50,1,3/18/2011,1576818.06,A,62.76,3.488,6516.830800000001,3482.7852000000003,128.6428,1596.4056000000003,4676.7155999999995,214.3627114,0,2011-03-18,2011,Mar,11,18
51,1,3/19/2010,1472515.79,A,54.58,2.72,3585.31,1243.242,390.68559999999997,723.32,3921.1852000000003,211.215635,0,2010-03-19,2010,Mar,11,19
52,1,3/2/2012,1688420.76,A,60.96,3.63,15441.4,1569.0,10.8,25390.88,8067.61,220.8480454,0,2012-03-02,2012,Mar,9,2
53,1,3/23/2012,1511068.07,A,65.93,3.787,6118.56,9.48,4.97,426.72,3657.22,221.2864126,0,2012-03-23,2012,Mar,12,23
54,1,3/25/2011,1541102.3800000001,A,69.97,3.473,6284.134399999999,1918.3375999999998,261.51480000000004,1340.9172,5854.419199999999,214.5999389,0,2011-03-25,2011,Mar,12,25
55,1,3/26/2010,1404429.92,A,51.45,2.732,3093.1072000000004,1171.4116000000001,428.7132,710.5296000000001,4130.022,211.0180424,0,2010-03-26,2010,Mar,12,26
56,1,3/30/2012,1649604.63,A,67.61,3.845,10309.58,0.5,10.25,1654.17,2642.78,221.3610119,0,2012-03-30,2012,Mar,13,30
