Cluster/Country/Region,SubCluster,calweek,brand,dc,product_code,customer_code,Quantity
US,SC1,202001,BRANDA,DC1,PRDCT1,CUSTA,537
US,SC1,202002,BRANDA,DC1,PRDCT1,CUSTA,544
US,SC1,202003,BRANDA,DC1,PRDCT1,CUSTA,574
US,SC1,202004,BRANDA,DC1,PRDCT1,CUSTA,523
US,SC1,202005,BRANDA,DC1,PRDCT1,CUSTA,571
US,SC1,202006,BRANDA,DC1,PRDCT1,CUSTA,557
US,SC1,202007,BRANDA,DC1,PRDCT1,CUSTA,571
US,SC1,202008,BRANDA,DC1,PRDCT1,CUSTA,589
US,SC1,202009,BRANDA,DC1,PRDCT1,CUSTA,546
US,SC1,202010,BRANDA,DC1,PRDCT1,CUSTA,572
US,SC1,202011,BRANDA,DC1,PRDCT1,CUSTA,549
US,SC1,202012,BRANDA,DC1,PRDCT1,CUSTA,559
US,SC1,202013,BRANDA,DC1,PRDCT1,CUSTA,544
US,SC1,202014,BRANDA,DC1,PRDCT1,CUSTA,537
US,SC1,202015,BRANDA,DC1,PRDCT1,CUSTA,573
US,SC1,202016,BRANDA,DC1,PRDCT1,CUSTA,535
US,SC1,202017,BRANDA,DC1,PRDCT1,CUSTA,552
US,SC1,202018,BRANDA,DC1,PRDCT1,CUSTA,600
US,SC1,202019,BRANDA,DC1,PRDCT1,CUSTA,522
US,SC1,202020,BRANDA,DC1,PRDCT1,CUSTA,561
US,SC1,202021,BRANDA,DC1,PRDCT1,CUSTA,529
US,SC1,202022,BRANDA,DC1,PRDCT1,CUSTA,554
US,SC1,202023,BRANDA,DC1,PRDCT1,CUSTA,551
US,SC1,202024,BRANDA,DC1,PRDCT1,CUSTA,580
US,SC1,202025,BRANDA,DC1,PRDCT1,CUSTA,539
US,SC1,202026,BRANDA,DC1,PRDCT1,CUSTA,587
US,SC1,202027,BRANDA,DC1,PRDCT1,CUSTA,496
US,SC1,202028,BRANDA,DC1,PRDCT1,CUSTA,539
US,SC1,202029,BRANDA,DC1,PRDCT1,CUSTA,564
US,SC1,202030,BRANDA,DC1,PRDCT1,CUSTA,541
US,SC1,202031,BRANDA,DC1,PRDCT1,CUSTA,534
US,SC1,202032,BRANDA,DC1,PRDCT1,CUSTA,568
US,SC1,202033,BRANDA,DC1,PRDCT1,CUSTA,553
US,SC1,202034,BRANDA,DC1,PRDCT1,CUSTA,574
US,SC1,202035,BRANDA,DC1,PRDCT1,CUSTA,571
US,SC1,202036,BRANDA,DC1,PRDCT1,CUSTA,533
US,SC1,202037,BRANDA,DC1,PRDCT1,CUSTA,566
US,SC1,202038,BRANDA,DC1,PRDCT1,CUSTA,544
US,SC1,202039,BRANDA,DC1,PRDCT1,CUSTA,514
US,SC1,202040,BRANDA,DC1,PRDCT1,CUSTA,558
US,SC1,202041,BRANDA,DC1,PRDCT1,CUSTA,511
US,SC1,202042,BRANDA,DC1,PRDCT1,CUSTA,582
US,SC1,202043,BRANDA,DC1,PRDCT1,CUSTA,563
US,SC1,202044,BRANDA,DC1,PRDCT1,CUSTA,517
US,SC1,202045,BRANDA,DC1,PRDCT1,CUSTA,565
US,SC1,202046,BRANDA,DC1,PRDCT1,CUSTA,542
US,SC1,202047,BRANDA,DC1,PRDCT1,CUSTA,531
US,SC1,202048,BRANDA,DC1,PRDCT1,CUSTA,589
US,SC1,202049,BRANDA,DC1,PRDCT1,CUSTA,567
US,SC1,202050,BRANDA,DC1,PRDCT1,CUSTA,529
US,SC1,202051,BRANDA,DC1,PRDCT1,CUSTA,579
US,SC1,202052,BRANDA,DC1,PRDCT1,CUSTA,537
US,SC1,202101,BRANDA,DC1,PRDCT1,CUSTA,561
US,SC1,202102,BRANDA,DC1,PRDCT1,CUSTA,532
US,SC1,202103,BRANDA,DC1,PRDCT1,CUSTA,559
US,SC1,202104,BRANDA,DC1,PRDCT1,CUSTA,584
US,SC1,202105,BRANDA,DC1,PRDCT1,CUSTA,573
US,SC1,202106,BRANDA,DC1,PRDCT1,CUSTA,524
US,SC1,202107,BRANDA,DC1,PRDCT1,CUSTA,555
US,SC1,202108,BRANDA,DC1,PRDCT1,CUSTA,564
US,SC1,202109,BRANDA,DC1,PRDCT1,CUSTA,582
US,SC1,202110,BRANDA,DC1,PRDCT1,CUSTA,562
US,SC1,202111,BRANDA,DC1,PRDCT1,CUSTA,564
US,SC1,202112,BRANDA,DC1,PRDCT1,CUSTA,555
US,SC1,202113,BRANDA,DC1,PRDCT1,CUSTA,554
US,SC1,202114,BRANDA,DC1,PRDCT1,CUSTA,525
US,SC1,202115,BRANDA,DC1,PRDCT1,CUSTA,534
US,SC1,202116,BRANDA,DC1,PRDCT1,CUSTA,512
US,SC1,202117,BRANDA,DC1,PRDCT1,CUSTA,541
US,SC1,202118,BRANDA,DC1,PRDCT1,CUSTA,535
US,SC1,202119,BRANDA,DC1,PRDCT1,CUSTA,550
US,SC1,202120,BRANDA,DC1,PRDCT1,CUSTA,550
US,SC1,202121,BRANDA,DC1,PRDCT1,CUSTA,561
US,SC1,202122,BRANDA,DC1,PRDCT1,CUSTA,533
US,SC1,202123,BRANDA,DC1,PRDCT1,CUSTA,555
US,SC1,202124,BRANDA,DC1,PRDCT1,CUSTA,527
US,SC1,202125,BRANDA,DC1,PRDCT1,CUSTA,527
US,SC1,202126,BRANDA,DC1,PRDCT1,CUSTA,533
US,SC1,202127,BRANDA,DC1,PRDCT1,CUSTA,555
US,SC1,202128,BRANDA,DC1,PRDCT1,CUSTA,530
US,SC1,202129,BRANDA,DC1,PRDCT1,CUSTA,554
US,SC1,202130,BRANDA,DC1,PRDCT1,CUSTA,564
US,SC1,202131,BRANDA,DC1,PRDCT1,CUSTA,552
US,SC1,202132,BRANDA,DC1,PRDCT1,CUSTA,502
